127.0.0.1 - - [28/Nov/2016:15:45:25 -0700] "GET / HTTP/1.1" 200 1281
::1 - - [28/Nov/2016:15:48:03 -0700] "GET /phpmyadmin/ HTTP/1.1" 200 3024
::1 - - [28/Nov/2016:15:48:03 -0700] "GET /phpmyadmin/phpmyadmin.css.php?nocache=4423135828ltr HTTP/1.1" 200 20060
::1 - - [28/Nov/2016:15:48:03 -0700] "GET /phpmyadmin/js/whitelist.php?lang=en&db=&token=8d4b3007d65e0b8a7034c2a57e24c794&v=4.6.4 HTTP/1.1" 200 475
::1 - - [28/Nov/2016:15:48:03 -0700] "GET /phpmyadmin/js/messages.php?lang=en&db=&token=8d4b3007d65e0b8a7034c2a57e24c794&v=4.6.4 HTTP/1.1" 200 8424
::1 - - [28/Nov/2016:15:48:13 -0700] "POST /phpmyadmin/index.php HTTP/1.1" 302 25
::1 - - [28/Nov/2016:15:48:15 -0700] "GET /phpmyadmin/index.php?token=880c0d72fc3dbf1eefab724b94cee4d7 HTTP/1.1" 200 12666
::1 - - [28/Nov/2016:15:48:17 -0700] "GET /phpmyadmin/phpmyadmin.css.php?nocache=5903509125ltr HTTP/1.1" 200 20060
::1 - - [28/Nov/2016:15:48:17 -0700] "GET /phpmyadmin/js/whitelist.php?lang=en&db=&token=880c0d72fc3dbf1eefab724b94cee4d7&v=4.6.4 HTTP/1.1" 200 475
::1 - - [28/Nov/2016:15:48:17 -0700] "GET /phpmyadmin/js/messages.php?lang=en&db=&token=880c0d72fc3dbf1eefab724b94cee4d7&v=4.6.4 HTTP/1.1" 200 8424
::1 - - [28/Nov/2016:15:48:17 -0700] "POST /phpmyadmin/version_check.php HTTP/1.1" 200 66
::1 - - [28/Nov/2016:15:48:17 -0700] "POST /phpmyadmin/db_structure.php?ajax_request=1&favorite_table=1&sync_favorite_tables=1&token=880c0d72fc3dbf1eefab724b94cee4d7 HTTP/1.1" 200 143
::1 - - [28/Nov/2016:15:48:20 -0700] "GET /phpmyadmin/server_databases.php?db=&token=880c0d72fc3dbf1eefab724b94cee4d7&ajax_request=true&ajax_page_request=true&_nocache=1480373300915837635 HTTP/1.1" 200 5657
::1 - - [28/Nov/2016:15:49:03 -0700] "POST /phpmyadmin/server_databases.php HTTP/1.1" 200 1753
